lat,lon,type,line_id,weight
50.4096597,30.5191115,other,,1.0
50.4118883192,30.5162183901,other,,1.0
50.4105395453,30.5177218909,other,,1.0
50.4360620502,30.5123217792,other,,1.0
50.4213121,30.5152743,other,,1.0
50.4170276206,30.5146845522,other,,1.0
50.4173509822,30.5147138731,other,,1.0
50.4185961886,30.5162462442,other,,1.0
50.4192214784,30.5168467313,other,,1.0
50.4211361,30.5158578,other,,1.0
50.4124448798,30.5133258143,other,,1.0
50.412464395,30.5141891336,other,,1.0
50.4105137225,30.5071713596,other,,1.0
50.4073144413,30.4912351808,other,,1.0
50.4097973552,30.4944804945,other,,1.0
50.4105974737,30.4978453639,other,,1.0
50.3644255895,30.5499738378,other,,1.0
50.3626905,30.5558665,other,,1.0
50.3724885133,30.5458761857,other,,1.0
50.3773935237,30.5373198473,other,,1.0
50.3790344479,30.5354100518,other,,1.0
50.3701182185,30.5501374881,other,,1.0
50.3768651068,30.5376355974,other,,1.0
50.3725657455,30.5451706466,other,,1.0
50.3459657,30.5353024,other,,1.0
50.3459657,30.5353024,other,,1.0
50.3490832,30.5381906,other,,1.0
50.3542498,30.5416075,other,,1.0
50.3588197,30.5438897,other,,1.0
50.3631613,30.5456882,other,,1.0
50.3648046,30.5459424,other,,1.0
50.3998862,30.5288564,other,,1.0
50.412651,30.5239282,other,,1.0
50.3711899,30.5469239,other,,1.0
50.3631234,30.5447296,other,,1.0
50.3581627,30.5425366,other,,1.0
50.355715,30.542328,other,,1.0
50.3540432,30.5407321,other,,1.0
50.3526631,30.5398552,other,,1.0
50.3521442,30.5402663,other,,1.0
50.349147,30.5364462,other,,1.0
50.4000043,30.4993464,other,,1.0
50.4025839,30.5010734,other,,1.0
50.3973132,30.5086154,other,,1.0
50.3958005,30.5021211,other,,1.0
50.3993337,30.4959226,other,,1.0
50.396717,30.4931681,other,,1.0
50.4016323,30.4937734,other,,1.0
50.4027881,30.4939899,other,,1.0
50.4058837,30.4970492,other,,1.0
50.3907411,30.5317486,other,,1.0
50.3900203,30.5370399,other,,1.0
50.3880943,30.5422919,other,,1.0
50.3878072,30.5435771,other,,1.0
50.3892742,30.5405213,other,,1.0
50.399539,30.534294,other,,1.0
50.3900339,30.5365769,other,,1.0
50.396624,30.532617,other,,1.0
50.3995894,30.5181383,other,,1.0
50.3944109,30.5196518,other,,1.0
50.3944109,30.5196518,other,,1.0
50.401656,30.5615871,other,,1.0
50.3812454,30.5523354,other,,1.0
50.3703444,30.5492279,other,,1.0
50.364755,30.5493738,other,,1.0
50.3512679,30.5512227,other,,1.0
50.3460598,30.5527562,other,,1.0
50.339251,30.554127,other,,1.0
50.3323798,30.5595264,other,,1.0
50.3276643,30.5610264,other,,1.0
50.3240692,30.56227,other,,1.0
50.3245306,30.5622533,other,,1.0
50.327909,30.5608111,other,,1.0
50.3327369,30.5593555,other,,1.0
50.3394548,30.5542237,other,,1.0
50.3461173,30.5532419,other,,1.0
50.3515062,30.5521396,other,,1.0
